rank,score,tier,l1,l2,l3,l4,l5,name,retailer,country,price,cur,azn,reviews,bestseller_ranks,countries,url,img,ev
119,75.8,Ranked in 3+ chains,KITCHEN TOOLS,Sink & drying,Sink organisers,Sponge caddies,Sink soap dispenser with sponge holder,Suntel Tezgah Üstü Sıvı Sabunluk Ve Süngerlik Organizer Siyah,n11,Turkey,399.0,TRY,13.89,18,#4 n11 Turkey (n11 search: sabunluk); #19 Fix Price Kazakhstan (Для дома > Хозяйственные мелочи (Household sundries)); #23 Fix Price Russia (Для дома > Хозяйственные мелочи (household sundries)),"Kazakhstan, Russia, Turkey",https://www.n11.com/urun/suntel-tezgah-ustu-sivi-sabunluk-ve-sungerlik-organizer-siyah-90695440,https://n11scdn.akamaized.net/a1/400_570/15/56/56/24/IMG-3755239315462597196.jpg,n11 Turkey: #4 in 'n11 search: sabunluk' (best-selling); Fix Price Kazakhstan: #19 in 'Для дома > Хозяйственные мелочи (Household sundries)' (popular first); Fix Price Russia: #23 in 'Для дома > Хозяйственные мелочи (household sundries)' (sorted by units sold)
120,75.5,Ranked in 3+ chains,HOUSEHOLD CLEANING,Sponges & Scourers,Specialty sponges,Cellulose,Cellulose sponge,"Губка целлюлозная, BonHome, в ассортименте",Fix Price,Russia,35,RUB,0.7,0,#42 Carrefour Poland (Wyposażenie domu > Domowe porządki > Rękawiczki i ścierki); #66 Fix Price Russia (Для дома > Для уборки (cleaning tools)); #77 Fix Price Kazakhstan (Для дома > Для уборки (Cleaning)),"Kazakhstan, Poland, Russia",https://fix-price.com/catalog/dlya-doma/p-5026319-gubka-tsellyuloznaya-onome-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/bb/bb999d3c8fe513a5156309de79a8001c.jpg,"Carrefour Poland: #42 in 'Wyposażenie domu > Domowe porządki > Rękawiczki i ścierki' (most popular); Fix Price Russia: #66 in 'Для дома > Для уборки (cleaning tools)' (sorted by units sold); Fix Price Kazakhstan: #77 in 'Для дома > Для уборки (Cleaning)' (popular first) | Fix Price RU & KZ 'Для уборки' (35 RUB); Kaspi KZ: 'Губка 169785 1 шт, целлюлоза' listing"
121,75.1,Ranked in 2 chains,HOME ESSENTIALS & DIY,Electrical & Power,Lighting,Night & utility lights,Motion-sensor LED stick-on light (wardrobe/stairs),Oświetlenie szafy z czujnikiem ruchu,Action,Poland,18.69,PLN,8.26,2000,"#46 Fix Price Russia (Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)); #65 Fix Price Kazakhstan (Для дома > Электротовары (Electrical))","Kazakhstan, Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3221709/oswietlenie-szafy-z-czujnikiem-ruchu/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3221709_8718964270385-111_01_eu2ypk.webp,"Fix Price Russia: #46 in 'Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)' (sorted by units sold); Fix Price Kazakhstan: #65 in 'Для дома > Электротовары (Electrical)' (popular first) | Action PL 18.69 zl; Fix Price FLARX LED light with motion sensor + FLARX stick-on LED light with tape; n11: SGE motion-sensor USB LED light 2,000 reviews, Dailylink 152 reviews"
122,75.0,Ranked in 3+ chains,DECOR & ORGANISATION,Storage & Organisation,Storage Boxes,Plastic Storage Boxes,Large plastic storage box with lid (25-45 L),Pojemnik do przechowywania Heidrun 42 l,Action,Poland,27.95,PLN,12.35,0,#1 Fix Price Russia (Для дома > Организация хранения (storage & organisation)); #9 Fix Price Kazakhstan (Для дома > Организация хранения (Storage)); #33 Carrefour Poland (Wyposażenie domu > Łazienka (all)),"Kazakhstan, Poland, Russia, Turkey",https://www.action.com/pl-pl/p/2535481/pojemnik-do-przechowywania-heidrun/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/2535481_8010059016527-110_03_vvn1lg.webp,"Fix Price Russia: #1 in 'Для дома > Организация хранения (storage & organisation)' (sorted by units sold); Fix Price Kazakhstan: #9 in 'Для дома > Организация хранения (Storage)' (popular first); Carrefour Poland: #33 in 'Wyposażenie domu > Łazienka (all)' (most popular) | Action PL 27.95 zl; storage pages 3-4 list 15+ lidded boxes 10-145 L (Heidrun, Iris, Curver, Plast); Fix Price RU 'Контейнер с крышкой, 30 л' and 'Ящик на колёсах, 32 л'; Trendyol landing page '20 Lt Kapaklı Plastik Kutu'"
123,75.0,Ranked in 3+ chains,"TEA, COFFEE & TABLE",Table Accessories,Condiment Serving,Butter Dishes,Butter dish with lid,"LSDecor kz масленка Керамическая масленка овальная 1 шт, керамика",Kaspi,Kazakhstan,4176,KZT,15.93,0,#10 Fix Price Kazakhstan (Для дома > Для кухни (Kitchen)); #14 Fix Price Russia (Для дома > Для кухни (Kitchen)); #37 Carrefour Poland (Wyposażenie domu > Kuchnia i jadalnia > Zastawa stołowa),"Kazakhstan, Poland, Russia, Turkey",https://kaspi.kz/shop/p/lsdecor-kz-maslenka-keramicheskaja-maslenka-oval-naja-1-sht-keramika-122181818/,https://resources.cdn-kaspi.kz/img/m/p/h11/h85/86732835094558.png?format=gallery-large,"Fix Price Kazakhstan: #10 in 'Для дома > Для кухни (Kitchen)' (popular first); Fix Price Russia: #14 in 'Для дома > Для кухни (Kitchen)' (sorted by units sold); Carrefour Poland: #37 in 'Wyposażenie domu > Kuchnia i jadalnia > Zastawa stołowa' (most popular) | Kaspi 4,176 KZT (dedicated category Масленки, сырницы и лимонницы; 8+ butter-dish listings incl. Pasabahce, Tupperware); Fix Price: 'Маслёнка с крышкой, 20х15 см' and 'Маслёнка с ножом для масла, O'Kitchen'; Trendyol: 'Pasabahce Tereyaglik 97711' and dedicated 'Tereyaglik' listing page"
124,74.9,Ranked in 2 chains,HOME TEXTILES,Living & decor textiles,Cushions,Cushion covers,Decorative cushion cover 40x40,"Наволочка декоративная, 40x40 см, в ассортименте",Fix Price,Russia,199,RUB,3.99,62,#16 Fix Price Kazakhstan (Для дома > Текстиль (Textiles)); #16 Fix Price Russia (Для дома > Текстиль (Textiles)),"Belarus, Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5072133-navolochka-dekorativnaya-4040-sm-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/26/26c7ab6bc9e296bc9391e15cef8536a4.jpg,"Fix Price Kazakhstan: #16 in 'Для дома > Текстиль (Textiles)' (popular first); Fix Price Russia: #16 in 'Для дома > Текстиль (Textiles)' (sorted by units sold) | Fix Price RU 199 RUB, canvas with zip; Fix Price also lists 'Чехол на декоративную подушку, 40x40' (RU, BY) and 'Чехол-наволочка ... 40х40' (KZ); n11: '2li Punch ... Kırlent Kılıfı' 62 reviews; 'Bej Wellsoft 2'li ... Kırlent Kılıfı' 15 reviews; Action PL 31 items in 'Poduszki' incl. 'Poszewka na poduszkę' 45x45 from 8.95 zl | Action PL 8.95 zl; Action 'Poduszki' page 1 lists 12 cushion-cover SKUs at 6.95-19.95 zl; n11 TR: many 45x45 kırlent kılıfı listings (e.g. Madame Coco jute cover 215.99 TL)"
125,74.8,Ranked in 3+ chains,KITCHEN TOOLS,Sink & drying,Dish drying,Drainer trays,Dish drying rack / drainer tray,Porsima 5328 Açılır Kapanır Bulaşık Tepsisi Bulaşıklık Tezgah Üstü Kurutmalık Durulama Matı Su Akıtma Kanallı Bulaşık Sepeti Gri - Beyaz,n11,Turkey,292.23,TRY,10.17,10,#2 n11 Turkey (n11 search: tepsi); #20 Fix Price Kazakhstan (Для дома > Для ванной (Bathroom)); #21 Fix Price Russia (Для дома > Для ванной (bathroom)),"Kazakhstan, Russia, Turkey",https://www.n11.com/urun/porsima-5328-acilir-kapanir-bulasik-tepsisi-bulasiklik-tezgah-ustu-kurutmalik-durulama-mati-su-akitma-kanalli-bulasik-sepeti-gri-beyaz-120975073,https://n11scdn.akamaized.net/a1/400_570/11/21/04/78/IMG-237670833661124402.jpg,n11 Turkey: #2 in 'n11 search: tepsi' (best-selling); Fix Price Kazakhstan: #20 in 'Для дома > Для ванной (Bathroom)' (popular first); Fix Price Russia: #21 in 'Для дома > Для ванной (bathroom)' (sorted by units sold)
126,74.8,Ranked in 3+ chains,"LAUNDRY, BATH & WARDROBE",Wardrobe,Storage,Garment storage,Vacuum storage bag,"Вакуумный пакет с ароматом, Home Time, 50х70 см, в ассортименте",Fix Price,Russia,87,RUB,1.75,0,#6 Fix Price Russia (Для дома > Аксессуары для одежды (clothes accessories)); #35 Fix Price Kazakhstan (Для дома > Хозяйственные мелочи (Household sundries)); #75 Carrefour Poland (Wyposażenie domu > Łazienka (all)),"Kazakhstan, Poland, Russia",https://fix-price.com/catalog/dlya-doma/aksessuary-dlya-odezhdy/p-5062050-vakuumnyy-paket-s-aromatom-ome-ime-50h70-sm-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/07/07c6c2d062600635a00e8605f20f196c.png,Fix Price Russia: #6 in 'Для дома > Аксессуары для одежды (clothes accessories)' (sorted by units sold); Fix Price Kazakhstan: #35 in 'Для дома > Хозяйственные мелочи (Household sundries)' (popular first); Carrefour Poland: #75 in 'Wyposażenie domu > Łazienka (all)' (most popular) | Fix Price 87 RUB (category 'Аксессуары для одежды'); Action PL 'Worki do przechowywania próżniowego – 2 szt.'; Action PL vacuum bags 9.95 zl and 12.95 zl (two SKUs in 'Kosze i torby na pranie')
127,74.8,Ranked in 2 chains,HOME TEXTILES,Living & decor textiles,Cushions,Filled cushions,Decorative filled cushion,"Подушка декоративная ""Каприана"" ИМП",Fix Price,Russia,299,RUB,6.0,425,#13 Fix Price Russia (Для дома > Текстиль (Textiles)); #21 Fix Price Kazakhstan (Для дома > Текстиль (Textiles)),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5246161-podushka-dekorativnaya-kapriana-imp,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/67/67f7c685f2b893ae2f9b871b697b55f1.jpg,"Fix Price Russia: #13 in 'Для дома > Текстиль (Textiles)' (sorted by units sold); Fix Price Kazakhstan: #21 in 'Для дома > Текстиль (Textiles)' (popular first) | Fix Price RU 299 RUB, geometric print; same SKU listed by Fix Price KZ; n11: 'Varol Silikon Dolgulu Pamuk Kılıflı Kırlent 4'lü' 425 reviews, 496 TL; Action PL 'Poduszka' 50x50 7.19 zl and 45x45 22.95 zl"
128,74.5,Ranked in 2 chains,HOME ESSENTIALS & DIY,Electrical & Power,Mobile & Charging,Charging cables,Multi-connector charging cable (3-in-1 / 6-in-1),Kabel do ładowania i przesyłania danych 6w1 Sologic,Action,Poland,13.99,PLN,6.18,362,"#27 Fix Price Russia (Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)); #51 Fix Price Kazakhstan (Для дома > Электротовары (Electrical))","Kazakhstan, Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3222946/kabel-do-ladowania-i-przesylania-danych-6w1-sologic/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3222946_8711332493201-110_01_s9cn5e.webp,"Fix Price Russia: #27 in 'Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)' (sorted by units sold); Fix Price Kazakhstan: #51 in 'Для дома > Электротовары (Electrical)' (popular first) | Action PL 13.99 zl, plus Re-load 3-in-1 44.95 zl and 4-in-1/6-in-1 keyring cables 8.95-9.95 zl; Fix Price FLARX USB 3-in-1 cable 100 cm 149 RUB; n11: T-Max 3-in-1 Type-C/Micro/Lightning 362 reviews"
129,74.3,Ranked in 2 chains,HOME TEXTILES,Floor mats & rugs,Small rugs,Universal mats,Small printed rug / kitchen mat (40x60),"Коврик универсальный, 40x60 см, в ассортименте",Fix Price,Russia,229,RUB,4.6,12,#11 Fix Price Kazakhstan (Для дома > Хозяйственные мелочи (Household sundries)); #13 Fix Price Russia (Для дома > Хозяйственные мелочи (household sundries)),"Kazakhstan, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5080245-kovrik-universalnyy-4060-sm-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/3a/3a816168be0d08ce2afa23f9cfbae8f7.png,"Fix Price Kazakhstan: #11 in 'Для дома > Хозяйственные мелочи (Household sundries)' (popular first); Fix Price Russia: #13 in 'Для дома > Хозяйственные мелочи (household sundries)' (sorted by units sold) | Fix Price RU 229 RUB, 100% polyester 40x60 cm; same SKU listed by Fix Price KZ; Fix Price RU also lists 'Коврик, Home Time, 45х70/45х75 см'; n11: 'West Home Dijital Baskı Yıkanabilir Kaymaz Taban ... Mutfak Halısı' 12 reviews, 98.10 TL"
130,74.1,Ranked in 2 chains,"LAUNDRY, BATH & WARDROBE",Wardrobe,Shoe care,Shoe accessories,Shoe horn,Ayakkabı Çekeceği Kerata Metal Çekecek 70 Cm,n11,Turkey,215.44,TRY,7.5,12,#1 Fix Price Kazakhstan (Для дома > Аксессуары для обуви (Shoe care)); #3 Fix Price Russia (Для дома > Аксессуары для обуви (shoe care accessories)),"Kazakhstan, Russia, Turkey",https://www.n11.com/urun/ayakkabi-cekecegi-kerata-metal-cekecek-70-cm-48672071,https://n11scdn.akamaized.net/a1/400_570/16/76/17/68/IMG-5623824399103385954.jpg,"Fix Price Kazakhstan: #1 in 'Для дома > Аксессуары для обуви (Shoe care)' (popular first); Fix Price Russia: #3 in 'Для дома > Аксессуары для обуви (shoe care accessories)' (sorted by units sold) | n11: 12 ratings, 4.5/5 (category Pratik Ev Gereçleri); n11 shoe-horn search shows 10+ listings incl. IKEA Omtanksam (9 ratings), Eynel 42 cm plastic (5 ratings)"
131,74.0,Ranked in 2 chains,HOUSEHOLD CLEANING,Toilet & Drain Tools,Toilet brushes,Silicone brushes,Silicone toilet brush,"Ёрш для унитаза силиконовый, Bath Republic, 39 см, в ассортименте",Fix Price,Russia,59,RUB,1.18,10,#18 Fix Price Kazakhstan (Для дома > Для ванной (Bathroom)); #19 Fix Price Russia (Для дома > Для ванной (bathroom)),"Kazakhstan, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5031127-rsh-dlya-unitaza-silikonovyy-ath-epublic-39-sm-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/df/df5df9516d28d5f2d56f8aaded91b57a.jpg,Fix Price Kazakhstan: #18 in 'Для дома > Для ванной (Bathroom)' (popular first); Fix Price Russia: #19 in 'Для дома > Для ванной (bathroom)' (sorted by units sold) | Fix Price RU (59 RUB); n11 TR: Porsima SB-776 silicone WC brush 10 reviews; İndecor silicone-tip set 4 reviews
132,73.7,Ranked in 3+ chains,HOUSEHOLD CLEANING,Cleaning Accessories,Sink caddies,Tap-hanging caddies,Sink / tap sponge holder caddy,Mainshop 2 Adet Siyah Çelik Bulaşık Sünger Tutucu Bulaşık Süngeri Tutacağı 3 M Askı Yapışkanlı Paslanmaz Siyah,n11,Turkey,284.9,TRY,9.91,3,#9 n11 Turkey (n11 search: bulaşık süngeri); #41 Fix Price Russia (Для дома > Организация хранения (storage & organisation)); #57 Fix Price Kazakhstan (Для дома > Организация хранения (Storage)),"Kazakhstan, Russia, Turkey",https://www.n11.com/urun/mainshop-2-adet-siyah-celik-bulasik-sunger-tutucu-bulasik-sungeri-tutacagi-3-m-aski-yapiskanli-paslanmaz-siyah-69929755,https://n11scdn.akamaized.net/a1/400_570/08/67/58/12/IMG-7474057722852198092.jpg,n11 Turkey: #9 in 'n11 search: bulaşık süngeri' (best-selling); Fix Price Russia: #41 in 'Для дома > Организация хранения (storage & organisation)' (sorted by units sold); Fix Price Kazakhstan: #57 in 'Для дома > Организация хранения (Storage)' (popular first)
133,73.7,Ranked in 2 chains,"COOK, BAKE & GRILL",Bakeware,Cake decorating,Disposable piping bags,"Disposable piping bags, multipack",Profesjonalne rękawy cukiernicze (8 sztuk),Action,Poland,6.95,PLN,3.07,15,#24 Carrefour Poland (Wyposażenie domu > Kuchnia i jadalnia > Akcesoria kuchenne); #153 Fix Price Russia (Для дома > Для кухни (Kitchen)),"Kazakhstan, Poland, Russia, Turkey",https://www.action.com/pl-pl/p/2578387/profesjonalne-rekawy-cukiernicze/,https://asset.action.com/image/upload/t_digital_product_image/w_1080/27711737.webp,"Carrefour Poland: #24 in 'Wyposażenie domu > Kuchnia i jadalnia > Akcesoria kuchenne' (most popular); Fix Price Russia: #153 in 'Для дома > Для кухни (Kitchen)' (sorted by units sold) | Action PL (Akcesoria kuchenne) 6.95 zl / 8 pcs; n11 TR: 50-pack disposable piping bags 15 ratings at 149.90 TL; flip.kz Konfinetta disposable bags 1,360 KZT (204 piping-bag listings)"
134,73.5,Ranked in 2 chains,DECOR & ORGANISATION,Decorative Accessories,Clocks,Wall Clocks,"Wall clock, small (20-30 cm)",Zegar ścienny Ø 20 x 4 cm,Action,Poland,8.95,PLN,3.96,504,"#1 Fix Price Russia (Сувениры и подарки > Зеркала, часы (mirrors, clocks)); #4 n11 Turkey (n11 search: pil)","Kazakhstan, Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3204371/zegar-scienny/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3204371_8721037954075-110_01_idjjd5.webp,"Fix Price Russia: #1 in 'Сувениры и подарки > Зеркала, часы (mirrors, clocks)' (sorted by units sold); n11 Turkey: #4 in 'n11 search: pil' (best-selling) | Action PL 8.95 zl (other wall clocks 17.95-29.95 zl) in 'Zegary'; Fix Price RU and KZ both list 'Часы настенные, 30 см'; Fix Price KZ also 'Часы настенные, 25 см' and 'Часы настенные, PREZENT, 230 мм' | Action PL 8.95 zl (20 cm), 10 clock SKUs in 'Zegary' from 8.95 to 89.95 zl; n11: Aa Shop silent wall clock 504 reviews"
135,73.0,Ranked in 2 chains,"LAUNDRY, BATH & WARDROBE",Wardrobe,Shoe care,Insoles,"Shoe insoles, cushioning (cut-to-size)","Стельки, Happy Foot, 1 пара, в ассортименте",Fix Price,Russia,69,RUB,1.39,0,#4 Fix Price Kazakhstan (Для дома > Аксессуары для обуви (Shoe care)); #5 Fix Price Russia (Для дома > Аксессуары для обуви (shoe care accessories)),"Kazakhstan, Poland, Russia",https://fix-price.com/catalog/dlya-doma/p-5054172-stelki-appy-oot-1-para-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/4b/4b5929aace6d5b00760c8b7cc94be3f1.jpg,"Fix Price Kazakhstan: #4 in 'Для дома > Аксессуары для обуви (Shoe care)' (popular first); Fix Price Russia: #5 in 'Для дома > Аксессуары для обуви (shoe care accessories)' (sorted by units sold) | Fix Price 69 RUB, two insole SKUs in 'Аксессуары для одежды' listing; Action PL 'Wkładki do butów Shoe like' 3.30 zl"
136,73.0,Ranked in 2 chains,FOOD STORAGE & DRINKWARE-TO-GO,Bag & wrap accessories,Reusable covers,Elastic covers,"Elastic food covers (shower-cap style), multipack",Pokrowce na produkty spożywcze Dumil,Action,Poland,3.98,PLN,1.76,0,#4 Fix Price Russia (Для дома > Для кухни (Kitchen)); #6 Fix Price Kazakhstan (Для дома > Для кухни (Kitchen)),"Kazakhstan, Poland, Russia",https://www.action.com/pl-pl/p/3205806/pokrowce-na-produkty-spozywcze-dumil/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3205806_8713815207121-111_01_fugacw.webp,Fix Price Russia: #4 in 'Для дома > Для кухни (Kitchen)' (sorted by units sold); Fix Price Kazakhstan: #6 in 'Для дома > Для кухни (Kitchen)' (popular first) | Action PL 3.98 zl (12 pcs)
137,73.0,Ranked in 2 chains,HOUSEHOLD CLEANING,Cleaning Gloves,Disposable gloves,Multipack,"Disposable gloves, multipack","Перчатки одноразовые, BonHome, 25 пар, в ассортименте",Fix Price,Russia,116,RUB,2.33,0,#4 Fix Price Kazakhstan (Для дома > Хозяйственные мелочи (Household sundries)); #6 Fix Price Russia (Для дома > Хозяйственные мелочи (household sundries)),"Kazakhstan, Poland, Russia",https://fix-price.com/catalog/dlya-doma/p-5043176-perchatki-odnorazovye-onome-25-par-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/e47844a539f7c4174c493d7634e9020d_6.jpg,"Fix Price Kazakhstan: #4 in 'Для дома > Хозяйственные мелочи (Household sundries)' (popular first); Fix Price Russia: #6 in 'Для дома > Хозяйственные мелочи (household sundries)' (sorted by units sold) | Fix Price RU & KZ (116 RUB/25 pairs); Action PL: nitrile gloves 100 pcs (several SKUs), latex 100 pcs, vinyl gloves"
138,72.9,Ranked in 2 chains,HOUSEHOLD CLEANING,Cleaning Cloths,Specialty cloths,Glass cloth,Microfibre glass & mirror cloth,"Нанотряпка, BonHome, 18х16 см, 2 шт., в ассортименте",Fix Price,Russia,79,RUB,1.59,11,#6 n11 Turkey (n11 search: mikrofiber bez); #24 Carrefour Poland (Wyposażenie domu > Domowe porządki > Rękawiczki i ścierki),"Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5040657-nanotryapka-onome-18h16-sm-2-sht-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/09/0903803c958df8090dd527f45da67c60.jpg,"n11 Turkey: #6 in 'n11 search: mikrofiber bez' (best-selling); Carrefour Poland: #24 in 'Wyposażenie domu > Domowe porządki > Rękawiczki i ścierki' (most popular) | Fix Price RU (79 RUB, for mirrors/glass); Action PL: Ściereczka do szkła i luster Spargo; Action PL: Luksusowa ściereczka do polerowania; n11 TR: Royal Sales mikrofiber cam bezi"
139,72.7,Ranked in 2 chains,"COOK, BAKE & GRILL",Cookware,Frying pans,Medium frying pan,Non-stick frying pan (24-28 cm),Patelnia Ambition Ø 24 cm,Action,Poland,34.95,PLN,15.45,135,#1 Carrefour Poland (Wyposażenie domu > Kuchnia i jadalnia > Patelnie); #10 n11 Turkey (n11 search: tava),"Kazakhstan, Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3215461/patelnia-ambition/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3215461_5907078491066-110_01_zfvrjh.webp,Carrefour Poland: #1 in 'Wyposażenie domu > Kuchnia i jadalnia > Patelnie' (most popular); n11 Turkey: #10 in 'n11 search: tava' (best-selling) | Action PL: 10+ frying pans in range (34.95-79.95 zl); flip.kz Kalitva 'Сатин' pan 135 reviews; Fix Price RU Scovo 'Prosto' 24 cm and O'Kitchen 25 cm pans
140,72.6,Ranked in 2 chains,HOME ESSENTIALS & DIY,Electrical & Power,Lighting,LED bulbs,LED candle bulb E14,Żarówka LED z możliwością przyciemniania światła Philips,Action,Poland,12.99,PLN,5.74,23,"#5 Carrefour Poland (Wyposażenie domu > Oświetlenie (all)); #113 Fix Price Russia (Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile))","Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3224358/zarowka-led-z-mozliwoscia-przyciemniania-swiatla-philips/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3224358_8721103158840-111_01_xmthys.webp,"Carrefour Poland: #5 in 'Wyposażenie domu > Oświetlenie (all)' (most popular); Fix Price Russia: #113 in 'Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)' (sorted by units sold) | Action PL Philips E14 dimmable 12.99 zl in 'Zarowki LED'; Fix Price ERA LED E14/E27 10 W listed (out of stock at fetch); n11: Philips LED Candle E14 5 W 23 reviews, 10x 7 W E14 candle bulbs 11 reviews"
141,72.5,Ranked in 2 chains,HOME TEXTILES,Bath textiles,Toilet textiles,Seat covers,Toilet seat lid cover (textile),"Чехол на сиденье унитаза, Bath Republic, в ассортименте",Fix Price,Russia,229,RUB,4.6,6,#2 Fix Price Russia (Для дома > Текстиль (Textiles)); #4 Fix Price Kazakhstan (Для дома > Текстиль (Textiles)),"Belarus, Kazakhstan, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5033164-chehol-na-sidene-unitaza-ath-epublic-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/f0/f08f8591858336d2a58ecd6a789270d5.jpg,"Fix Price Russia: #2 in 'Для дома > Текстиль (Textiles)' (sorted by units sold); Fix Price Kazakhstan: #4 in 'Для дома > Текстиль (Textiles)' (popular first) | Fix Price RU 229 RUB, polyurethane/polyester, listed 2nd on 'Текстиль' page; same SKU listed by Fix Price KZ and BY; n11: 'Mucit Home Klozet Kapağı Kılıfı Yıkanabilir' 135 TL, 6 reviews"
142,72.4,Ranked in 2 chains,"LAUNDRY, BATH & WARDROBE",Bath,Bath accessories,Soap & dental,Toothbrush tumbler/cup,"Стакан для ванной, Bath Republic, 9 см",Fix Price,Russia,35,RUB,0.7,0,#12 Fix Price Russia (Для дома > Для ванной (bathroom)); #13 Fix Price Kazakhstan (Для дома > Для ванной (Bathroom)),"Kazakhstan, Poland, Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5031116-stakan-dlya-vannoy-ath-epublic-9-sm,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/10/100591a9cde5f1fdcee01e22f7619859.jpg,"Fix Price Russia: #12 in 'Для дома > Для ванной (bathroom)' (sorted by units sold); Fix Price Kazakhstan: #13 in 'Для дома > Для ванной (Bathroom)' (popular first) | Fix Price 35 RUB stone-look polyresin, plus 'Стакан бамбуковый для ванной' (category 'Для ванной'); Action PL glass toothbrush holder 3.99 zl, 4 toothbrush-holder SKUs in 'Akcesoria łazienkowe'"
143,72.2,Ranked in 2 chains,DECOR & ORGANISATION,Lighting & LED Decor,LED String Lights,Battery Fairy Lights,"LED fairy string lights, battery (non-seasonal)",3 Metre Pilli Peri Led. Dekor Işık Günışığı. Dekoratif Led Lamba Sarı,n11,Turkey,99,TRY,3.45,71,"#17 Fix Price Kazakhstan (Декор для дома > Товары для декора (Decor)); #64 Fix Price Russia (Сувениры и подарки > Подставки, шкатулки, светильники (trays, boxes, decorative lights))","Kazakhstan, Russia, Turkey",https://www.n11.com/urun/3-metre-pilli-peri-led-dekor-isik-gunisigi-dekoratif-led-lamba-sari-6476953,https://n11scdn.akamaized.net/a1/400_570/04/73/01/37/IMG-8527401150298949792.jpg,"Fix Price Kazakhstan: #17 in 'Декор для дома > Товары для декора (Decor)' (popular first); Fix Price Russia: #64 in 'Сувениры и подарки > Подставки, шкатулки, светильники (trays, boxes, decorative lights)' (sorted by units sold) | n11 TR: 71 ratings / 42 comments, 4.0/5 (price 99 TL shown on n11 search listing); several more battery fairy-light SKUs 99-172.50 TL; Fix Price RU 'Гирлянда ""Цветы"", With Love' (110 cm, 10 LED, 2xAA) and 'Гирлянда ""Люблю"", With Love, 2 м' in everyday gifts (non-New-Year)"
